Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Mozambique,1970,25847554048,,,,,,,,,,10.6967,22.533,27.40774,6.717,17,8411678,3714931,9,40.3,43.2,47.057
Greenland,1969,,,,,,,,,,,0.1075,6.776,6.79904,4.213,17.8,44125,19335,0,61.1,65.3,29.345
Falkland Islands,2001,,,,0.01,40808.359,,0.01,,,,0.2567,8.07,2.38588,1.4069,34.4,3148,514,0,70.8,74.8,12.334
Uruguay,1988,31465408512,,,,11416.548,,,,,,17.7704,9.395,2.45747,2.5059,29.5,3077764,803074,307,69,76.8,18.09
Guinea,2000,8142368256,,,0.75,933.223,,0.25,,,,33.9287,14.804,16.43799,5.9362,16.3,8336973,3757364,2,52.1,52.8,41.642
Denmark,1962,72198873088,,,,,,,,,,109.5909,9.76,2.33525,2.5525,32.1,4645997,1125642,35,70.3,74.4,16.722
Turkey,1989,4.43256E+11,0,175.671,,9710.353,464.388,,0,258.527,53.225,69.2632,7.046,7.86355,3.282,20.5,53305236,19294388,1331,63.9,71,26.82
Saudi Arabia,1971,84937220096,,0,,41157.68,263.272,,0,250.456,0,2.9756,14.59,17.18849,7.5563,16.2,6396665,2902365,4,52.3,55.4,49.617
Cook Islands,1991,,,,,7285.417,,,,,,72.1188,7.252,2.39841,3.9451,20.2,17333,6136,0,64.5,71.1,31.16
Sweden,2009,3.73029E+11,0.562,23.227,141.29,63081.84,217.044,7.84,139.817,182.322,229.889,22.8345,9.718,0.32948,1.9313,39.7,9301413,1546295,1507,79.3,83.3,11.965
Kiribati,1996,,,,,913.174,,,,,,114.093,7.801,7.51197,4.3903,18.2,82848,34419,0,61.6,64.9,33.519
Italy,2012,2.02924E+12,0.9,182.733,339.58,32295.604,1668.513,126.9,0,772.214,275.365,203.3623,10.134,0.35106,1.4235,43.2,60190150,8434839,15431,79.8,84.5,8.892
Central African Republic,2011,4499550208,,,0.18,279.481,,0.02,,,,7.5958,14.092,14.04289,5.9626,15.5,4732037,2192540,1,48.8,51.2,43.223
Senegal,2019,,,,5.49,2753.391,,2.82,,,,83.108,5.409,3.97976,4.5171,17.5,16000783,6773723,1,65.9,71,33.47
Solomon Islands,2005,,,,0.07,2695.842,,0.05,,,,16.7553,5.829,2.92913,4.4748,17.8,482496,202253,2,66.1,70.1,33.884
French Polynesia,2013,,,,0.59,15941.214,,0.29,,,,78.1846,2.887,0.7597,1.9462,29,288037,71247,11,79.6,84.8,15.576
Czechia,2012,2.77621E+11,0.64,206.149,69.49,47515.48,392.822,40.01,79.788,106.936,26.829,136.1484,10.282,0.32045,1.4519,39.2,10511065,1550820,549,75,81,10.318
Dominica,2016,706700032,,,0.11,12128.221,,0.05,,,,93.4333,10.714,3.63755,1.6568,30.8,70098,14873,6,67.6,73,13.167
Pakistan,1955,44967657472,,,,,,,,,,53.216,24.912,30.58491,6.8,18.6,41023130,16550840,281,41.8,39,45.184
Guadeloupe,2005,,,,1.57,23387.596,,0.98,,,,247.6864,6.832,0.88224,2.2703,34.6,403244,94672,100,74.7,82.6,15.972
Mauritius,2003,17855117312,,,1.98,13249.851,,1.22,,,,611.9901,6.765,1.60196,1.9183,28.8,1242343,310453,27,69,75.7,15.956
Cape Verde,1982,446880000,,,,1571.594,,,,,,80.9725,10.185,8.64128,6.1697,15.4,326326,151975,0,61,62.3,41.656
Zimbabwe,1994,23447492608,,,,4898.543,,,0,,,28.0693,11.755,9.36747,4.2704,15.4,10858598,5027496,57,50,55.3,32.818
Iran,2000,6.00692E+11,,15.16,118.63,21307.211,1385.28,63.88,0,775.711,11.288,40.2421,5.15,3.65045,2.0164,20.7,65544380,21687312,75,67.3,72.3,16.39
Panama,1995,22570156032,,,,23018.551,,,,,,36.616,5.057,3.15025,2.8517,21.9,2716071,930453,52,69.3,75.7,24.898
Costa Rica,1981,17587703808,,,,6718.458,,,,,,48.5964,4.219,3.0303,3.5594,19.8,2481345,909729,13,72.3,75.4,30.212
Afghanistan,1995,12307525632,,,,452.46,,,,,,25.2873,14.092,15.09599,7.7123,14.7,16418911,7957593,5,51,54.1,52.073
Samoa,1982,,,,,3069.979,,,,,,58.97,6.381,4.02373,5.6615,15.7,166899,75419,0,62.4,69,34.189
Australia,2001,7.13626E+11,0,585.691,224.26,68338.281,1264.47,161.91,0,457.085,50.915,2.5055,6.708,0.61375,1.7485,34.7,19248146,3956582,1582,77.4,82.6,12.813
Taiwan,1984,1.96634E+11,,75.408,,19722.865,296.902,,69.771,207.552,12.977,543.6106,4.609,1.08086,2.0395,23.2,19249256,5837129,91,70.8,75.9,19.371
Sudan,1998,,,,,797.84,,,0,,,14.1804,14.803,14.40529,5.5036,15.6,25029146,11496631,4,44.3,54.3,38.608
Thailand,1972,1.09423E+11,,1.044,,2390.069,,,0,84.273,5.11,74.0558,9.531,8.976339,5.1535,16.7,37834384,16648972,1232,56.2,62,35.078
Luxembourg,2006,26033442816,0,1.077,7.1,109285.398,50.909,1.63,0,35.522,0.718,182.3952,8.031,0.43959,1.6437,37.4,472402,86896,32,77,81.7,11.549
Grenada,1984,,,,,2406.495,,,,,,292.9941,7.676,3.05385,3.3163,19.5,99631,36601,2,66.6,71.8,27.794
Canada,1992,8.30133E+11,,311.209,,109417.391,1928.26,,227.064,936.497,946.402,3.1173,6.94,0.7221,1.7213,32.6,28347644,5866826,2877,74.7,81,14.116
Cote d'Ivoire,1989,27953506304,,,,2298.56,,,,,,36.047,13.698,15.21276,6.8436,15.2,11462955,5423361,92,50.9,55.1,47.084
Georgia,1998,22536785920,,,,10741.93,,,,,,65.0224,11.062,4.09431,1.6866,31.9,4518407,1093101,79,64.9,73.1,12.637
Saint Vincent and the Grenadines,1991,,,,,2816.311,,,,,,289.1795,5.682,2.30554,2.8226,19.8,112802,41683,15,70.2,75.7,23.735
Bahrain,2001,12778555392,,,13.73,158559.688,,7,0,,,932.6398,2.516,1.21843,2.6639,25.5,730263,209579,1,74.6,77.7,20.129
South Africa,2018,6.73272E+11,0.057,980.26,232.33,24742.117,1355.136,176.08,29.4,330.768,34.168,46.9684,8.765,3.41843,2.4179,26.3,57339630,16445882,2870,62.2,68.7,21.137
Poland,1962,1.61505E+11,,,,,,,,,,98.8652,7.873,5.93792,2.7547,26,30271926,9991357,110,64.5,70.5,19.771
Gabon,1950,1229838848,,,,,,,,,,1.8353,24.141,29.87032,3.9481,27.1,472913,136899,1,38.3,41,30.187
Costa Rica,2009,51914768384,,,9.23,11747.936,,0.58,,,,89.3679,4.433,1.07893,1.9818,27.7,4563131,1149420,94,76.2,81.2,16.53
Guadeloupe,2011,,,,1.7,26967.006,,1.06,,,,247.6308,6.882,0.6792,2.2056,38.1,403153,87220,165,77.3,84.5,13.708
Low-income countries,2008,,,,117.38,2024.638,,37.36,0,,,34.4007,10.378,10.21267,5.525,16.5,505273540,224719330,3041,56.2,59.7,39.772
Saint Lucia,2014,1635704960,,,0.36,10461.293,,0.25,,,,283.7719,7.724,1.81701,1.4845,30.2,174814,37104,2,69.9,76.1,12.393
Eswatini,2010,7332277248,,,1.45,5146.958,,0.13,,,,63.3485,15.911,8.51974,3.3561,18.4,1099926,426925,6,44.9,48.3,30.083
Argentina,1983,3.50707E+11,,9.68,,16535.426,421.144,,9.662,268.312,54.958,10.5226,8.601,3.67334,3.1594,26,29377144,9094357,231,65.5,73.2,23.209
Bangladesh,2004,2.6042E+11,,4.069,23.26,1261.467,172.915,11.21,0,45.444,2.164,1066.219,6.44,6.83841,2.9144,20.7,138789730,49424496,140,66,68.5,26.586
Qatar,2020,,,0.075,44.66,184074.562,507.667,21.9,0,122.596,,238.2518,1.219,0.59157,1.8162,32,2760390,423764,2,78.2,80.7,10.895
Upper-middle-income countries,1954,,,,,,,,,,,18.2094,18.134,18.06395,5.6016,20.9,978953200,362979840,5203,46.9,51.3,40.919
Poland,2015,9.27976E+11,0.68,566.047,163.91,28851.459,1039.33,115.86,0,302.295,72.985,125.9108,10.255,0.47256,1.3241,38.7,38553148,5773175,3164,73.5,81.3,9.832
Brazil,1993,1.29691E+12,4.533,127.936,,10825.511,925.208,,1.254,753.877,788.741,18.9565,6.855,5.42724,2.6723,22.3,158440860,53536730,336,64.2,70.2,23.022
Kuwait,1966,20059133952,,,,146570.109,,,0,60.271,0,31.7355,7.607,9.13966,7.3433,18.9,565473,231586,0,61.8,65,46.17
Cameroon,1995,22791555072,,,,1690.048,,,,,,28.3481,13.64,14.61868,5.9555,15.6,13211643,6110915,20,51.6,54.9,42.09
Kuwait,1954,9376418816,,,,,,,,,,9.6023,14.834,19.5951,6.9938,20.4,171107,67347,0,49.8,53.3,42.618
Sao Tome and Principe,2001,323367296,,,0.02,1865.868,,0.01,,,,152.3521,9.101,7.00781,5.1315,16.9,146271,62262,0,60.4,63.7,39.941
Moldova,2018,23299414016,,,6.34,13129.505,,3.46,,,,95.5488,13.339,1.50314,1.8086,35.3,3141839,604503,106,65.9,75.2,13.443
South Korea,2009,1.47764E+12,0.105,797.76,426.91,57865.918,2399.555,208.34,396.007,1246.88,16.029,491.0708,5.085,0.43067,1.1654,36,48588024,8240519,3029,76.9,84,9.042
Kuwait,1988,24303263744,,,,67629.32,,,0,79.014,0,119.4945,2.133,1.9023,3.6271,20.7,2129160,844608,1,72.8,76.8,25.128
Bulgaria,2015,1.19894E+11,0.742,76.237,38.12,30739.168,159.541,19.98,39.752,53.301,25.387,67.431,15.891,0.77062,1.5345,42.6,7309255,1031391,460,71.2,78.1,9.209
Myanmar,1991,48063922176,,,,611.502,,,0,,,62.2703,11.31,11.32578,3.4514,20.7,40680540,14620556,16,54.5,59.6,27.038
Guinea,1987,4360595968,,,,848.867,,,,,,23.6886,20.031,24.70324,6.6665,17.3,5820777,2509177,2,45.4,47.4,46.561
Norway,2001,2.55413E+11,,10.288,124.73,116303.484,170.193,3.2,0,120.641,354.804,14.8377,9.742,0.47257,1.7886,36,4514019,904439,431,76.2,81.5,12.576
Kazakhstan,2017,4.45457E+11,0,407.12,98.76,42406.988,745.685,68.01,0,171.309,30.991,6.784,8.054,1.05538,2.7309,29,18314822,5138481,133,67.4,75,21.36
Slovakia,1982,,0,93.273,,42593.418,193.343,,16.571,70.848,5.104,102.954,9.986,2.05199,2.2799,28.3,5048149,1323317,36,67,74.8,18.429
Bolivia,1965,11093693440,,,,,,,,,,3.7991,21.207,26.4968,6.2078,18.4,4115514,1690157,23,43,46.5,43.469
Equatorial Guinea,1994,1275597184,,,,941.932,,,0,,,19.2511,15.478,17.22149,5.9778,18.1,540005,230993,6,49.9,53,44.412
Cyprus,1974,4166472192,,,,15746.498,,,0,10.213,0,70.1932,17.101,3.04357,2.2802,25.1,648594,183450,7,44.7,71.7,18.343
Chad,1997,5091476480,,,,106.113,,,0,,,5.9171,18.692,19.4288,7.2741,14.9,7450883,3593035,43,46.2,48.2,52.384
Netherlands,2009,7.13757E+11,0.4,87.222,118.45,65268.383,1030.883,58.9,11.385,530.078,37.023,491.1113,8.126,0.45734,1.7881,39.5,16536200,2917123,1575,78.5,82.6,11.15
Trinidad and Tobago,1966,10983681024,,,,37955.98,,,0,22.354,,183.7425,7.613,5.6193,4.2923,17.2,942602,404962,5,62.3,66.5,30.291
India,1977,9.47196E+11,,610.346,,1654.663,939.183,,5.254,315.044,133.883,219.1873,14.662,18.46106,5.0074,18.7,651685600,260929760,1473,52.3,51.5,36.89
Trinidad and Tobago,1954,4351702528,,,,,,,,,,140.6334,10.73,8.3415,5.5705,18.3,721450,306232,3,57.3,60.2,40.7
Djibouti,1999,1247108096,,,,10010.687,,,,,,31.0341,10.899,10.30893,4.6704,18.7,719381,286988,0,54.8,58.1,33.369
Kyrgyzstan,2021,,,,14.51,9274.61,,1.51,,,,34.0341,6.197,1.68766,2.9912,23.7,6527742,2249758,22,65.8,74.4,24.126
Northern Mariana Islands,2003,,,,,0,,,,,,163.2877,2.183,0.60955,2.0988,26.9,74646,25836,0,74.5,78.7,20.809
Comoros,2018,1416032128,,,0.09,1593.286,,0.06,,,,417.1486,8.235,6.45258,4.196,19.3,776322,302062,1,61.8,66.2,30.859
Greece,1981,1.37962E+11,,45.601,,20863.965,,,0,140.842,10.074,71.9996,9.455,1.82624,2.2032,33.8,9418999,2220258,939,72.4,77.6,14.971
Mauritius,1985,8434796032,,,,4093.924,,,,,,505.3049,7.078,2.87795,2.0829,22.4,1025777,322658,2,64.1,71,19.498
Russia,2012,3.42175E+12,,1144.69,998.24,56593.086,7211.754,398.76,467.118,1780.806,449.555,8.7709,13.416,1.04607,1.7184,37.2,143629360,22548048,6053,65.1,76.4,13.472
Poland,1973,2.83715E+11,0,877.553,,32914.445,1090.047,,0,139.729,5.017,108.6566,8.391,3.35612,2.2612,27.1,33270012,8230546,338,66.9,74.1,18.143
Singapore,1968,10651528192,,0.07,,41058.598,,,0,81.665,0,2914.605,5.022,3.00149,3.5979,17.5,1990680,832161,2,65.3,71.4,23.959
Azerbaijan,1986,58704584704,,1.07,,36072.141,250.456,,0,101.817,2.378,84.7967,9.735,9.98322,3.1561,21.7,7009132,2346262,5,58.6,65.5,30.532
Yemen,2018,69042724864,,,3.31,1170.726,,1.94,0,,,58.3187,6.629,6.17485,4.0428,18.2,30790514,12568809,8,60.9,68.6,32.305
Tonga,1981,,,,,1906.102,,,,,,148.9931,6.604,2.86938,5.5321,16.7,96861,41897,0,62.6,70.4,35.077
Samoa,1988,,,,,2817.094,,,,,,59.1703,6.068,3.19833,5.0887,17.3,167464,69468,0,64.4,70.7,33.364
Guatemala,1966,19531819008,,,,,,,,,,45.5631,17.09,19.16558,6.7993,15.7,4882546,2253613,3,46.6,49,46.331
South Korea,1996,9.19813E+11,,373.323,,42497.312,1722.209,,209.761,1221.481,8.464,461.4795,5.339,0.98105,1.5842,28.8,45660164,10300788,940,70.1,78.4,14.797
Australia,2016,1.17648E+12,0.116,540.062,258.23,66407.094,1491.312,162.67,0,571.723,115.454,3.1495,6.576,0.36398,1.7996,36.2,24195706,4570393,3904,80.8,84.9,12.855
Lesotho,2002,3773087744,,,0.29,1287.35,,0.01,,,,65.7949,18.368,11.0662,3.6772,18.7,1997537,766366,13,43.5,47.7,29.501
North Korea,1998,35521585152,,,,10971.822,,,,,,191.2103,10.328,10.55091,2.0081,28.2,23023642,5992481,170,56.9,64.1,18.718
Libya,1991,25389248512,,,,35798.496,,,0,,,2.5904,4.524,4.03697,4.67,18.4,4341979,1742650,6,67.7,72.3,28.253
Romania,2020,,1.362,41.722,58.41,18998.812,270.517,13.62,28.896,116.17,69.962,84.5027,14.488,0.68473,1.746,41.6,19442040,3114248,670,71.5,79.4,10.238
Solomon Islands,1998,,,,,1724.789,,,,,,14.1737,5.99,3.16972,4.9035,17,408151,176633,0,64.8,69.6,35.926
Chad,1984,3020129536,,,,110.477,,,0,,,3.9077,20.987,23.16584,7.0154,15.6,4920557,2286948,50,42.1,47,50.371
Algeria,2005,3.26854E+11,,6.908,31.99,11113.723,364.681,15.52,0,134.213,1.59,13.8372,4.943,3.35926,2.5546,23.1,32956690,9624317,217,71.1,73.1,21.166
Netherlands,1960,1.51719E+11,,,,,,,,,,341.3358,7.636,2.20099,3.1235,27.8,11493124,3444305,67,71.4,75.3,20.842
Tunisia,2009,1.093E+11,,,14.39,8024.898,,6.94,0,,,69.385,5.271,1.89196,2.046,27.4,10784499,2591288,117,72.5,78.3,17.667
Vietnam,1969,48936554496,,14.21,,2118.453,,,0,71.084,1.597,130.8701,12.817,10.62562,6.0134,17.4,41015868,17604120,74,50.6,62.4,34.775
Tanzania,1982,17897992192,,,,604.741,,,,,,23.1428,15.145,17.74466,6.7959,15.3,20499924,9678770,26,49.3,53.9,47.425
Iraq,1966,43987525632,,,,2966.131,,,0,19.331,0.274,19.7036,12.78,13.86574,6.9702,18.1,8553880,3607505,6,54,60.8,46.211
Cape Verde,1993,790274624,,,,1052.166,,,,,,97.2082,7.887,5.76453,4.9209,15.4,391764,182944,0,63.2,67.1,36.24
American Samoa,1984,,,,,53295.414,,,,,,190.84,4.738,2.38268,4.3252,18.3,38193,15336,0,66.6,73.7,34.086
Ireland,1966,23351748608,,41.414,,26440.957,,,0,31.882,2.51,41.9355,12.196,2.7908,3.9357,27.3,2867008,889382,33,68.1,72.4,21.169
Benin,2011,17416239104,,,1.1,2071.188,,0.06,,,,86.2574,10.372,10.66109,5.3659,16.9,9726385,4234228,31,57.2,59.7,39.202
Albania,2003,18465497088,,,6.14,10756.612,,0.19,,,,112.8911,6.057,2.3046,1.9776,27.9,3092993,842903,95,73.5,79.1,14.668
Niue,2013,,,,0,15371.812,,0,,,,7.0212,12.225,3.0815,2.7497,34.5,1846,490,0,68.1,71.2,15.703
Bahrain,1971,1430905856,,,,,,,0,,,295.0083,6.45,6.92159,6.2843,16.5,231001,102610,0,64.7,66.9,36.677
Tonga,2010,,,,0.05,4973.945,,0.04,,,,165.2054,6.605,1.34329,3.8886,20.1,107401,40352,1,67.6,73.4,27.266
Syria,1991,1.20676E+11,,,,11900.062,,,0,,,69.5786,4.67,3.52318,5.1237,15.6,12782284,5876806,18,68.2,72.1,34.702
Tunisia,1977,24812912640,,,,,,,0,,,39.1994,9.073,11.67081,5.7717,16.7,6092776,2652111,7,60.1,63.1,37.87
Reunion,2001,,,,2.1,14354.454,,1.01,,,,318.1992,5.326,0.8949701,2.4502,27.4,795504,229825,58,71.9,80.6,19.788
Netherlands,1970,2.48592E+11,,53.333,,50606.965,658.754,,1.044,429.031,0,387.2082,8.408,1.56803,2.5721,27.5,13037686,3558433,161,70.8,76.5,18.349
Bosnia and Herzegovina,1992,16213873664,,,,10196.318,,,,,,83.5152,19.114,6.12516,1.773,30.2,4275737,1029094,90,43.5,64.3,14.411
Tanzania,1969,11822966784,,,,,,,,,,14.8654,18.848,21.80815,6.878,15.8,13167787,6067774,7,44.1,47.9,49.506
El Salvador,2001,32499939328,,,4.45,5098.644,,1.24,,,,289.0007,6.119,3.25268,2.9769,20.5,5988102,2200709,43,65.2,73.9,25.995
Senegal,2013,31644256256,,,3.61,2117.29,,2.05,,,,70.6153,6.503,5.54932,4.9598,17.1,13595571,5883091,0,63.8,68.2,36.817
Azerbaijan,2010,1.44296E+11,,0.048,17.4,13958.922,119.375,7.11,0,37.746,9.567,111.7521,7.167,3.75088,2.0863,27.2,9237203,2208226,49,66.3,72.8,19.879
Sudan,1992,,,,,1097.808,,,0,,,12.3396,17.206,16.65148,6.0529,14.9,21780058,10420196,22,41.4,51.4,42.219
France,1953,3.94065E+11,,,,,,,,,,77.7745,13.029,4.87245,2.7132,31.8,42883300,10181464,266,64.3,70.2,18.97
French Polynesia,2008,,,,0.68,17700.125,,0.34,,,,76.1559,2.839,0.9241201,2.1929,26.9,280566,74382,1,77.9,83.1,17.606
Mauritius,2016,25506041856,,,2.9,18958.602,,1.86,,,,637.3946,7.794,1.45037,1.3969,34.6,1293909,245738,98,71.9,78.3,10.389
Cameroon,1997,26071126016,,,,1675.268,,,,,,29.9135,13.713,14.80214,5.7229,15.8,13941183,6393014,21,51.1,54.4,41.07
Peru,1983,1.06508E+11,,1.604,,5254.089,74.483,,0,67.836,24.435,14.7075,10.146,11.40474,4.6796,17.8,18826906,7853799,272,57.6,63,34.953
Finland,1995,1.31585E+11,0,68.605,72.45,65139.227,218.854,,54.526,117.569,59.348,16.8925,9.634,0.48384,1.8066,36.9,5107942,971982,204,72.8,80.2,12.342
North Korea,1994,42085990400,,,,11737.855,,,,,,183.583,5.89,4.34451,2.2033,26.4,22105230,5855778,102,65.1,74.9,20.661
Greenland,2017,,,,0.46,63297.488,,0.07,,,,0.1363,8.162,0.75858,2.0521,33.3,55951,11628,0,70.4,75.5,15.037
Sri Lanka,1985,56399376384,,0.245,,1596.779,,,0,18.367,7.084,256.6356,5.827,3.02121,2.8785,21.6,16092339,5522366,56,67.8,74.9,23.004
Gambia,1996,1606890496,,,,707.45,,,,,,126.3903,12.751,13.33123,5.9557,15.9,1279066,586240,13,53.9,58.2,44.277
Saint Vincent and the Grenadines,1981,,,,,2074.722,,,,,,277.4115,6.383,4.78085,3.8143,16.9,108209,45861,12,68.8,71.9,29.97
Tuvalu,2008,,,,,0,,,,,,342.4,9.935,3.39485,3.5493,23,10294,3408,0,60.7,67.5,22.306
United Arab Emirates,2006,3.59087E+11,,3.275,62.43,151316.516,741.293,30.59,0,315.258,,68.976,1.449,0.97795,2.0722,27.1,4898956,869229,10,75.6,79.3,14.484
Maldives,1997,,,,,4573.392,,,,,,896.8,5.042,5.28168,3.572,16.4,269054,118511,7,68.6,70,25.971
Egypt,1966,58874122240,,3.187,,3051.35,91.066,,0,87.34,5.397,31.7576,17.774,26.35095,6.4332,18,31613136,13200540,13,47.6,51.4,43.693
South Korea,2002,1.20307E+12,,571.39,311.38,50846.504,2062.423,144.83,333.596,1249.256,10.071,478.2619,4.932,0.68397,1.1954,31.8,47320664,9685129,1752,73.8,81.1,10.215
Bahrain,2005,22640009216,,,18.2,166315.328,,9.1,0,,,1151.879,2.308,1.08246,2.6194,26.7,901928,221617,1,75.6,78.7,19.911
Nauru,2001,,,,0.03,39953.254,,0.02,,,,518.15,8.442,3.53426,3.5883,19.2,10385,4056,0,55.5,62.2,28.694
Eswatini,2019,,,,1.75,5780.252,,0.14,,,,67.3624,8.923,4.92779,2.9212,21,1169620,419729,10,57,64.4,25.118
Central African Republic,1982,2993423872,,,,425.83,,,,,,3.961,16.448,18.15171,6.1409,16.9,2467639,1080595,22,48.7,52.1,44.931
Gambia,2016,3593880064,,,0.29,1008.469,,0.2,,,,228.9729,7.454,5.75251,5.1974,16.2,2317212,1046578,9,61.8,64.3,36.59
Brunei,1961,,,,,,,,,,,15.5353,10.73,10.2199,6.7715,15.9,89580,42028,0,57.5,58.2,43.231
Burundi,1951,1485475456,,,,,,,,,,88.7571,23.879,28.07266,6.9139,18.1,2303256,961190,1,39.3,42.2,50.678
Botswana,2004,16721032192,,,2.65,8571.5,,0.61,,,,3.2804,13.073,7.260119,3.0735,19.5,1859087,684890,13,49.9,53.3,28.141
Senegal,2020,,,,5.59,2532.413,,2.69,,,,85.3691,5.584,3.80932,4.4542,17.6,16436120,6913872,1,65.6,70.3,33.034
Afghanistan,2016,64297426944,,,5.54,862.791,,0.13,,,,53.3442,7.077,7.0645,5.2618,15.8,34636212,15766737,72,61.2,65.1,37.936
Suriname,2020,,,,2.72,20356.205,,0.68,,,,3.8914,7.036,1.75668,2.3708,27.8,607068,162499,45,69.3,76,18.279
Hong Kong,2015,3.42917E+11,0.025,77.901,46.28,44121.883,326.218,25.53,0,217.86,0.277,6733.247,6.535,0.22955,1.2272,41.9,7399845,858317,3149,81.5,87.2,10.649
Nicaragua,1989,8356356096,,,,2817.312,,,,,,34.3148,7.618,8.08861,4.7622,15.5,4129449,1910242,2,59.1,65.9,37.147
France,1950,3.51454E+11,,,,,,,,,,75.8866,12.769,5.98468,2.9851,33.5,41842356,9499068,215,63.4,69.2,20.771
Bermuda,2000,,,,0,39297.879,,0,,,,1136.5,6.093,0.39302,1.7673,35.8,61390,11610,1,75.3,82.3,13.585
Czechia,1992,1.31887E+11,0.004,295.923,56.01,46841.379,444.054,,34.76,80.681,4.166,133.5564,11.677,1.13155,1.7192,34.7,10310956,2094911,116,68.5,76.2,11.822
World,1980,3.1881E+13,0.042,20857.609,,17539.768,70619.703,,2020.096,35525.133,5307.075,34.0789,10.646,11.74565,3.7498,21.5,,1573398800,49409,58.2,62.9,28.527
Colombia,1962,70335873024,,,,,,,,,,14.854,11.096,12.61393,6.6627,15.3,16691286,7866700,13,56.3,60.3,44.983
Comoros,2021,,,,0.14,1633.784,,0.1,,,,441.4968,8.718,5.85155,3.9777,20.1,821632,314381,1,61.2,65.8,29.398
Brazil,2003,1.90206E+12,3.037,149.419,397.08,13111.923,1360.113,30.55,37.175,1048.221,997.334,21.8505,6.313,2.83953,2.0226,25.4,182629280,51445500,720,67.2,74.4,17.85
Denmark,2003,2.15533E+11,,66.683,37.61,47297.211,231.08,28.27,0,109.988,24.152,127.2905,10.701,0.54335,1.7574,38,5396355,1011398,625,75,79.7,11.988
Tunisia,1952,7094844416,,,,,,,,,,24.0904,26.669,29.90038,6.6284,18.7,3744377,1543219,11,37.8,39.8,46.015
Saint Lucia,1996,936978304,,,,5628.193,,,,,,249.9497,6.371,1.92242,2.7724,21.3,153982,53835,0,68.8,73,23.32
Togo,2020,,,,1.39,1152.519,,0.3,,,,155.223,8.417,6.43925,4.3227,18.5,8442583,3419062,0,60.5,61.6,32.302
Martinique,2012,,,,0,0,,0,,,,365.0811,6.934,0.95906,1.9789,40.8,386991,73991,78,79,85.1,11.807
Mongolia,2009,19534581760,,,4.08,18920.904,,3.21,0,,,1.7122,6.808,2.87644,2.533,24.1,2666718,748305,18,62.6,71.5,23.613
Zambia,1999,13971743744,,,,3018.763,,,0,,,12.9424,17.4,16.17569,5.9866,14.6,9621248,4669467,30,43.4,45.8,46.155
Martinique,2000,,,,1.05,21751.891,,0.74,,,,408.0599,6.163,1.1339,1.9508,31.5,432555,105783,14,74.3,81.1,15.543
Cape Verde,1980,400192000,,,,3782.307,,,,,,78.7181,10.24,8.98981,6.375,15.3,317249,148158,0,61.1,61.7,41.851
Croatia,1993,37941878784,,3.95,11.69,17528.975,70.492,,0,40.674,13.514,85.7378,10.874,1.43451,1.5071,36.1,4792409,899898,57,69.3,77.1,10.313
Tunisia,1953,7363862528,,,,,,,,,,24.5651,26.246,29.66499,6.6742,18.5,3818152,1588570,14,38.3,40.3,46.094
Samoa,2021,,,,0.17,7302.089,,0.08,,,,77.3018,5.343,1.67608,3.9301,20.6,218781,82519,2,70.3,75.5,27.254
Albania,1999,14151858176,,,5.78,6892.834,,,,,,117.0983,5.732,2.85732,2.3176,25.9,3208265,967602,101,72.4,78.2,17.982
Cape Verde,1991,689942656,,,,922.504,,,,,,92.4867,8.137,5.86349,5.2592,15.2,372733,175587,0,63.2,66.8,37.744
Ghana,2002,42979041280,,,7.54,1846.188,,1.37,,,,91.2293,9.744,9.18891,4.7231,17.6,20758324,8583908,16,57.4,59.9,35.344
Qatar,1965,2927665408,,,,21756.164,,,0,0.573,0,5.5966,8.843,9.26727,6.7162,21.5,64859,23628,0,61.3,64.7,50.527
Argentina,1966,2.27835E+11,,6.972,,15139.622,335.505,,0,283.876,3.669,8.0246,9.001,7.06587,3.0482,25.7,22403120,6776657,36,61.5,68.8,23.141
Ireland,1959,18300655616,,,,,,,,,,41.2987,12.039,3.68825,3.6369,29.4,2823474,869702,41,67.6,71.4,21.443
United States,1983,7.06624E+12,,4425.291,,83556.281,17279.002,,877.172,8311.476,1094.357,25.1859,8.644,1.32607,1.7951,29.9,230389970,50417612,18735,71,78.1,15.625
Mexico,1993,9.25343E+11,0,43.292,,15988.583,1273.897,,13.992,947.339,97.497,44.2254,5.489,3.94105,3.2163,19.7,86648440,32350780,7966,67.4,74.7,28.144
Colombia,2005,3.94524E+11,0.049,15.562,47.6,7917.907,220.059,6.63,0,140.033,114.242,37.5736,5.072,2.15717,2.2634,24.5,42220944,12730950,183,69.5,76.8,19.265
Israel,1968,30793713664,,,,19618.719,,,0,51.301,,124.0516,6.877,3.03009,3.9089,22.7,2684855,870296,9,69.6,73.2,26.731
Mongolia,2000,7225650688,,,2.98,17691.607,,2.31,0,,,1.5737,7.359,6.34975,2.255,20.7,2450988,862856,12,60,65.9,20.419
Northern Mariana Islands,2015,,,,,0,,,,,,112.7221,4.159,0.8968199,2.513,35.5,51538,12491,0,75.3,78.8,13.908
