Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Uganda,1996,23216443392,,,,352.338,,,,,,106.3505,17.08,16.3372,6.8943,14.1,21249570,10582954,11,44.3,49.1,50.206
Indonesia,1959,1.48374E+11,,,,,,,,,,45.0292,18.337,23.40358,5.5057,19.1,86047670,34014256,106,44.4,47.3,44.291
Fiji,2018,,,,1.09,9316.589,,0.31,,,,50.3008,7.832,2.63148,2.5296,26,919002,272851,5,66,69.7,20.187
Barbados,2012,3415680000,,,1.06,26331.783,,0.74,,,,642.3198,8.879,1.46828,1.6454,36.2,276207,54372,9,74,78,11.603
Spain,1972,3.72604E+11,,117.475,,18240.162,511.005,,13.481,381.815,105.076,68.7069,8.236,2.636,2.871,29,34515176,9586878,650,70.2,75.6,19.314
Tuvalu,1988,,,,,0,,,,,,294.8,10.503,5.34389,3.9565,22.5,8862,3153,0,58.3,64.4,34.587
Congo,1989,8492042752,,,,2190.059,,,0,,,6.7911,10.895,9.01347,5.3051,16.4,2319181,1030933,6,54.4,58.6,39.178
Fiji,2000,,,,0.62,9308.956,,0.15,,,,45.567,6.457,2.25339,3.0264,21.1,832516,288693,4,64.2,68.7,24.34
Japan,1970,1.61568E+12,,702.305,,31032.793,3034.734,,12.999,2296.708,223.646,279.7509,7.076,1.7655,2.0927,28.2,105416840,24806994,678,69.3,74.7,18.568
Albania,1974,8539399680,,,,,,,,,,94.3664,7.417,8.10063,4.6421,18.1,2585457,1039352,100,65.6,70.1,30.297
Saint Pierre and Miquelon,2001,,,,0.04,44782.07,,0.03,,,,27.2217,9.811,1.16605,2.0086,36.2,6283,1227,0,70.4,80,13.164
Luxembourg,2007,28098930688,1.02,0.912,7.15,104455.211,48.843,1.46,0,34.575,1.282,185.2774,8.121,0.31513,1.6107,37.5,479877,87554,38,76.7,82.2,11.31
